"Priority","Phase","Cluster","Page type","Working title","Proposed URL","Primary intent","Parent page","Proof or original asset required","Status"
"P0","Pre-launch","Technical","Implementation","Production indexability and redirect migration","n/a","Preserve existing organic equity","n/a","Historic URL export and tested redirect map","Planned"
"P0","Pre-launch","Core","Commercial hub","CNVRT services","/services/","Digital marketing services","/","Complete service ownership map","Planned"
"P0","Pre-launch","Entity","Trust page","About CNVRT and Daniel Lyons","/about/","CNVRT and founder trust","/","Verified bio, profiles, experience and selected work","Planned"
"P0","Pre-launch","Core","Conversion page","Contact CNVRT","/contact/","Contact digital agency","/","Working form, email and call route","Planned"
"P0","Pre-launch","Core","Conversion page","Submit a project","/submit-a-project/","Website and marketing project enquiry","/","Qualification questions and working form","Linked but missing"
"P0","Pre-launch","Core","Conversion page","Request a digital audit","/request-an-audit/","Website, SEO and paid media audit","/","Defined audit scope, qualification and working form","Linked but missing"
"P0","Pre-launch","Blog","Content hub","CNVRT blog","/blog/","Digital marketing insights","/","Categories, author model and first articles","Linked but missing"
"P0","Pre-launch","Legal","Legal page","Privacy policy","/privacy/","Privacy information","/","Legally reviewed content","Linked but missing"
"P0","Pre-launch","Legal","Legal page","Cookie policy","/cookies/","Cookie information","/","Actual cookie and analytics inventory","Linked but missing"
"P0","Pre-launch","Legal","Legal page","Accessibility statement","/accessibility/","Accessibility information","/","Real conformance position and contact route","Linked but missing"
"P0","Weeks 1-5","Agency","Homepage rewrite","Manchester digital marketing agency","/","Digital marketing agency Manchester","/","Verified proposition, proof and client logos","Existing rewrite"
"P0","Weeks 1-5","Web design","Service rewrite","Web design agency Manchester","/services/web-design/","Web design agency Manchester","/services/","Hear Better, RFT Recruitment and Ya Omri","Existing rewrite"
"P0","Weeks 1-5","Ecommerce","Service page","Ecommerce web design agency","/services/ecommerce-web-design/","Ecommerce web design agency","/services/","Heatons, UberKinky and Ya Omri","Implemented, final proof approval remains"
"P0","Weeks 1-5","Shopify","Service rewrite","Shopify design and development agency","/services/shopify/","Shopify agency UK and Manchester","/services/","Shopify Partner validation, Heatons and UberKinky","Existing rewrite"
"P0","Weeks 1-5","Shopify","Service rewrite","Shopify migration services","/services/shopify-migrations/","Shopify migration agency","/services/shopify/","Verified migrated client and migration process","Existing rewrite"
"P0","Weeks 1-5","Software","Service rewrite","Custom web development","/services/custom-web-development/","Custom web development agency","/services/","TopDraw and public-facing functionality","Existing rewrite"
"P0","Weeks 1-5","Software","Service rewrite","Custom tools and business software","/services/custom-tools/","Bespoke business software and internal tools","/services/","Real workflow, portal, calculator or CRM examples","Existing rewrite"
"P0","Weeks 1-5","SEO","Service rewrite","SEO agency Manchester","/services/seo/","SEO agency Manchester","/services/","Hear Better search proof and delivery model","Existing rewrite"
"P0","Weeks 1-5","AEO","Service rewrite","AEO and AI search visibility","/services/aeo/","AEO agency and AI search visibility","/services/seo/","Documented prompt and reporting method","Existing rewrite"
"P0","Weeks 1-5","Paid","Service rewrite","Google Ads management","/services/google-ads/","Google Ads and PPC agency Manchester","/services/","Hear Better 10x ROAS source and date range","Existing rewrite"
"P0","Weeks 1-5","Paid","Service rewrite","Meta Ads management","/services/meta-ads/","Meta Ads agency","/services/","Verified Heatons work and measurement approach","Existing rewrite"
"P0","Weeks 1-5","Email","Service rewrite","Email marketing and automation","/services/email-marketing/","Email marketing agency","/services/","Verified Heatons work, example flow map","Existing rewrite"
"P0","Weeks 1-5","Proof","Case study","Hear Better growth case study","/work/hear-better/","Web design, local SEO, AEO and PPC case study","/work/","Confirmed metrics and signed Liam Hobson quote","Existing strengthen"
"P0","Weeks 1-5","Proof","Case study","Heatons Furniture growth case study","/work/heatons-furniture/","Shopify, Meta Ads and email case study","/work/","Metrics, dates, narrative and testimonial","Existing thin"
"P0","Weeks 1-5","Proof","Case study","UberKinky Shopify and CRO case study","/work/uberkinky/","Custom Shopify and CRO case study","/work/","Metrics, implementation detail and testimonial","Existing thin"
"P1","Weeks 6-8","Web design","Decision guide","How much does a website cost in the UK?","/blog/website-cost-uk/","Website design cost UK","/services/web-design/","Original pricing bands and scope table","Planned"
"P1","Weeks 6-8","Web design","Decision guide","Website redesign or complete rebuild?","/blog/website-redesign-vs-rebuild/","Website redesign vs rebuild","/services/web-design/","Decision tree and project examples","Planned"
"P1","Weeks 6-8","Shopify","Decision guide","How much does a Shopify website cost in the UK?","/blog/shopify-website-cost-uk/","Shopify website cost UK","/services/shopify/","Original scope and pricing table","Planned"
"P1","Weeks 6-8","Shopify","Checklist","Shopify migration checklist for UK retailers","/blog/shopify-migration-checklist/","Shopify migration checklist","/services/shopify-migrations/","Downloadable checklist and redirect example","Planned"
"P1","Weeks 6-8","SEO","Decision guide","How much does SEO cost in the UK?","/blog/seo-cost-uk/","SEO cost UK","/services/seo/","Transparent delivery and pricing models","Planned"
"P1","Weeks 6-8","AEO","Comparison guide","AEO vs SEO: what is actually different?","/blog/aeo-vs-seo/","AEO vs SEO","/services/aeo/","Original comparison table and limitations","Planned"
"P1","Weeks 6-8","Paid","Audit guide","What is included in a Google Ads audit?","/blog/google-ads-audit-guide/","Google Ads audit","/services/google-ads/","Audit checklist and anonymised examples","Planned"
"P1","Weeks 6-8","Email","Comparison guide","Klaviyo vs Mailchimp for ecommerce","/blog/klaviyo-vs-mailchimp/","Klaviyo vs Mailchimp","/services/email-marketing/","Feature and fit comparison reviewed for recency","Planned"
"P1","Weeks 9-12","Agency","Decision guide","How much does a digital marketing agency cost in the UK?","/blog/digital-marketing-agency-cost-uk/","Digital marketing agency cost UK","/services/","Original pricing and engagement models","Planned"
"P1","Weeks 9-12","Agency","Comparison guide","Digital agency vs freelancer vs in-house","/blog/agency-vs-freelancer-vs-in-house/","Agency vs freelancer vs in house","/services/","Decision table and honest fit criteria","Planned"
"P1","Weeks 9-12","Agency","Buyer guide","How to choose a digital marketing agency","/blog/how-to-choose-digital-marketing-agency/","Choose a digital marketing agency","/services/","Evaluation checklist","Planned"
"P1","Weeks 9-12","Agency","Buyer guide","Warning signs your agency is not doing enough","/blog/digital-agency-warning-signs/","Bad digital marketing agency signs","/services/","First-hand examples without client identification","Planned"
"P1","Weeks 9-12","SEO","Decision guide","How long does SEO take to work?","/blog/how-long-does-seo-take/","How long SEO takes","/services/seo/","Scenario table and limitations","Planned"
"P1","Weeks 9-12","Paid","Budget guide","How much should a small business spend on Google Ads?","/blog/google-ads-budget-small-business/","Google Ads budget small business","/services/google-ads/","Planning model with caveats","Planned"
"P1","Weeks 9-12","Paid","Diagnostic guide","Why Google Ads get clicks but no enquiries","/blog/google-ads-clicks-no-leads/","Google Ads clicks no leads","/services/google-ads/","Diagnostic flow and Hear Better learning","Planned"
"P1","Weeks 9-12","Meta","Budget guide","How much should a small business spend on Meta Ads?","/blog/meta-ads-budget-small-business/","Meta Ads budget small business","/services/meta-ads/","Planning model and test assumptions","Planned"
"P1","Weeks 9-12","Meta","Technical guide","Meta Pixel vs Conversions API","/blog/meta-pixel-vs-conversions-api/","Meta Pixel vs Conversions API","/services/meta-ads/","Current official sources and consent caveats","Planned"
"P1","Weeks 9-12","Email","Implementation guide","Essential Klaviyo flows for a Shopify store","/blog/essential-klaviyo-flows-shopify/","Essential Klaviyo flows","/services/email-marketing/","Original lifecycle flow map","Planned"
"P1","Weeks 9-12","Proof","Case study","TopDraw platform case study","/work/topdraw/","Competition platform development case study","/work/","Workflow, functionality, scale and verified outcome","Existing thin"
"P1","Weeks 9-12","Proof","Case study","RFT Recruitment website case study","/work/rft-recruitment/","Recruitment website and lead generation case study","/work/","Outcome, testimonial and decision detail","Existing thin"
"P1","Weeks 9-12","Proof","Case study","Ya Omri Shopify case study","/work/ya-omri/","Luxury Shopify design case study","/work/","Commercial context, outcome and testimonial","Existing thin"
"P0","Implemented","SEO","Service page","Local SEO services","/services/local-seo/","Local SEO agency Manchester and local SEO services","/services/seo/","Hear Better proof and repeatable local process","Implemented 16 July 2026"
"P0","Implemented","SEO","Service page","Technical SEO services","/services/technical-seo/","Technical SEO agency and audits","/services/seo/","Prioritised delivery, implementation support and technical evidence","Implemented 16 July 2026"
"P0","Implemented","SEO","Service page","Ecommerce SEO services","/services/ecommerce-seo/","Ecommerce SEO agency and Shopify SEO services","/services/seo/","Heatons and UberKinky catalogue, migration and search evidence","Implemented 16 July 2026"
"P1","Post-90","Email","Service page","Klaviyo email marketing agency","/services/klaviyo/","Klaviyo agency UK","/services/email-marketing/","Partner status if valid, Heatons proof and flow examples","Conditional"
"P1","Post-90","Sector","Sector hub","Ecommerce growth agency","/industries/ecommerce/","Ecommerce digital marketing agency","/services/","Heatons, UberKinky, Ya Omri and TopDraw","Conditional"
"P1","Post-90","Sector","Sector hub","Digital growth for service businesses","/industries/service-businesses/","Digital marketing for service businesses","/services/","Hear Better and RFT Recruitment","Conditional"
"P2","Post-90","Web design","Decision guide","How long does a website take to build?","/blog/how-long-does-a-website-take/","Website build timeline","/services/web-design/","Timeline by scope","Planned"
"P2","Post-90","Web design","Template","What to include in a web-design brief","/blog/web-design-brief-template/","Web design brief template","/services/web-design/","Downloadable template","Planned"
"P2","Post-90","Web design","Comparison guide","Bespoke website vs template website","/blog/bespoke-vs-template-website/","Bespoke website vs template","/services/web-design/","Fit and cost decision table","Planned"
"P2","Post-90","Web design","Diagnostic guide","Why a better-looking website can produce fewer leads","/blog/website-redesign-fewer-leads/","Website redesign conversion drop","/services/web-design/","Original examples and checklist","Planned"
"P2","Post-90","Web design","Checklist","What should be fixed before sending paid traffic to a website?","/blog/website-checklist-before-paid-traffic/","Landing page readiness for ads","/services/web-design/","Cross-channel checklist","Planned"
"P2","Post-90","Shopify","Comparison guide","Shopify theme customisation vs custom build","/blog/shopify-theme-vs-custom-build/","Shopify theme vs custom build","/services/shopify/","Scope and fit comparison","Planned"
"P2","Post-90","Shopify","Comparison guide","Shopify vs WooCommerce for a UK ecommerce business","/blog/shopify-vs-woocommerce-uk/","Shopify vs WooCommerce UK","/services/shopify/","Current platform comparison","Planned"
"P2","Post-90","Shopify","Migration guide","How to migrate to Shopify without losing important SEO signals","/blog/shopify-migration-seo/","Shopify migration SEO","/services/shopify-migrations/","Redirect and QA examples","Planned"
"P2","Post-90","Shopify","Migration guide","What data can and cannot be moved to Shopify?","/blog/what-data-can-migrate-to-shopify/","Shopify migration data","/services/shopify-migrations/","Official platform sources and caveats","Planned"
"P2","Post-90","Shopify","CRO guide","Shopify product-page CRO checklist","/blog/shopify-product-page-cro-checklist/","Shopify product page CRO","/services/ecommerce-web-design/","Original annotated example","Planned"
"P2","Post-90","SEO","Comparison guide","SEO vs Google Ads for lead generation","/blog/seo-vs-google-ads/","SEO vs Google Ads","/services/seo/","Decision table and Hear Better context","Planned"
"P2","Post-90","SEO","Audit guide","What is included in a professional SEO audit?","/blog/seo-audit-guide/","SEO audit contents","/services/seo/","Original audit framework","Planned"
"P2","Post-90","SEO","Checklist","Local SEO checklist for service businesses","/blog/local-seo-checklist-service-businesses/","Local SEO checklist","/services/local-seo/","Hear Better examples and downloadable checklist","Conditional"
"P2","Post-90","SEO","Technical guide","Internal linking for service and ecommerce websites","/blog/internal-linking-guide/","Internal linking SEO","/services/seo/","Original diagrams and examples","Planned"
"P2","Post-90","AEO","Measurement guide","How to measure AI search visibility","/blog/measure-ai-search-visibility/","Measure AI visibility","/services/aeo/","Documented prompt methodology","Planned"
"P2","Post-90","AEO","Technical guide","Does schema markup improve AI visibility?","/blog/schema-markup-ai-visibility/","Schema for AI search","/services/aeo/","Official-source review and test examples","Planned"
"P2","Post-90","AEO","Audit guide","How to run an AI visibility audit","/blog/ai-visibility-audit/","AI visibility audit","/services/aeo/","Original audit template","Planned"
"P2","Post-90","Google Ads","Comparison guide","Search campaigns vs Performance Max","/blog/search-campaigns-vs-performance-max/","Search vs Performance Max","/services/google-ads/","Current product sources and scenarios","Planned"
"P2","Post-90","Google Ads","Technical guide","How tracking errors waste Google Ads budget","/blog/google-ads-tracking-errors/","Google Ads conversion tracking errors","/services/google-ads/","Anonymised examples and checklist","Planned"
"P2","Post-90","Meta","Comparison guide","Meta Ads vs Google Ads","/blog/meta-ads-vs-google-ads/","Meta Ads vs Google Ads","/services/meta-ads/","Intent and funnel comparison","Planned"
